// todo : cache this sql...
//full joins are not supported.. yet!
//kinda ugly, but needed for collections with a "." node mapping
//just a performance opt!
//we *could* regerate this inside each called method!
// --Commented out by Inspection (12/11/04 10:56 AM): int getWarningCount();
// Handle actions
//noop
// Initial load from JBC
"//	private final List extendsQueue;"
// todo : temporary //      needed because currently persister is the one that //      creates and renders the join fragments for inheritence //      hierarchies...
//if it is a property of an embedded component, invoke on the "identifier"
// have the entity entry perform post-update processing, passing it the // update state and the new version (if one).
//TODO: really bad, evil hack to fix!!!
// we need to writeObject() on this since interceptor is user defined
// todo : potentially look at optimizing these two arrays
//get a snapshot
// finally, what it's all about...
//null caused some problems
//NOTE SPECIAL CASE: // one-to-one constrained=false cannot be proxied, // so default to join and non-lazy
// the contract of EntityTuplizer.determineConcreteSubclassEntityName says that returning null // is an indication that the specified entity-name (this.getEntityName) should be used.
// TODO : safe to interpret "map.remove(key) == null" as non-dirty?
//a "detached" collection!
// iterate over the *old* list
// insertable simply because that is the user did not specify // anything; just override it
// we need to lock the collection caches before // executing entity inserts/updates in order to // account for bidi associations
// Double check the distributed cache
// not null is implicit
// Does this dialect support the UNIQUE column syntax?
// work around the "feature" where tree cache is validating the // inserted node during the next transaction. no idea...
//recache the updated state
// simple, because we can't have a one-to-one or a collection  // (or even a property-ref) in a composite-element:
// make sure spinning forward did not put us past the end of the buffer...
// identifier quoting support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// See if the entity is already bound to this session, if not look at the // entity identifier and assume that the entity is persistent if the // id is not "unsaved" (that is, we rely on foreign keys to keep // database integrity)
// First, save off the pertinent ids, saving the number of pertinent ids for return
// check two "adjecent" nodes at the top of the from-clause tree
// process the "new" HQL style where aliases are assigned // _after_ the class name or path expression ie. using // the AS construction
//TODO: cache this in an instvar
"//	public BytecodeProvider getBytecodeProvider() { //		return bytecodeProvider; //	} // //	void setBytecodeProvider(BytecodeProvider bytecodeProvider) { //		this.bytecodeProvider = bytecodeProvider; //	}"
// invokevirtual
//grab its state saved at deletion
//keep the existing version number in the case of replicate!
// ugly hack for cases like "elements(foo.bar.collection)" // (multi-part path expression ending in elements or indices)
// (AS is always optional, for consistency with SQL/OQL)
//persister.setIdentifier(result, id); //before calling interceptor, for consistency with normal load
//TODO: use these in methods above
/*(array==null) ? tempList.get(i) :*/
//cascade to current collection elements
// InterSystems Cache' does not current support "SELECT ... FOR UPDATE" syntax... // Set your transaction mode to READ_COMMITTED before using
// We call getKeyFromResultSet() here so that we can know the // key value upon which to perform the breaking logic.  However, // it is also then called from getRowFromResultSet() which is certainly // not the most efficient.  But the call here is needed, and there // currently is no other way without refactoring of the doQuery()/getRowFromResultSet() // methods
//Set USE_REFLECTION_OPTIMIZER to false to fix HHH-227
// might need to run a different filter entirely after the flush // because the collection role may have changed
// Set the existing pool flag to true
//sql = update;
// This 'dot' expression now refers to the resulting from element.
//private static final Alias DEFAULT_ALIAS = new Alias(10, null);
// cascade-delete to many-to-one AFTER the parent was deleted
//TODO: simply remove this override //      if we fix the above todos
// (NOT (NOT_BETWEEN a b) ) => (BETWEEN a b)
// NativeSQL: collect key column and auto-aliases
//Custom SQL
// dynamic filters attached to the class-level
//memory optimization
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ // stuff that is Tuplizer-centric ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ // ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//trim off the length/precision/scale
//TODO: I am not so sure about the exception handling in this bit!
// Make sure this is a defined parameter and check the incoming value type // TODO: what should be the actual exception type here?
//delete all the deleted entries
//getDefaultProperties().setProperty(Environment.STATEMENT_BATCH_SIZE, NO_BATCH);
//flat recursive algorithm
// sql server just returns automatically
// isTransactionCallbackRegistered denotes whether any Hibernate // Transaction has registered as a callback against this // JDBCContext; only one such callback is allowed.  Directly // serializing this value causes problems with JDBCTransaction, // or really any Transaction impl where the callback is local // to the Transaction instance itself, since that Transaction // is not serialized along with the JDBCContext.  Thus we // handle that fact here explicitly...
// The syntax used to add a foreign key constraint to a table.
//source.getBatcher().executeBatch(); //found another way to ensure that all batched joined inserts have been executed
// just ignore it for now, it'll get resolved later...
// propertyName refers to something like collection.size...
"//			ps.close(); //just close it; do NOT try to return it to the pool! //NOTE: early exit!"
// TimesTen has no known variation of a "SELECT ... FOR UPDATE" syntax...
//an identifier mapper => getKey will be included in the getNonDuplicatedPropertyIterator() //and checked later, so it needs to be excluded
// PERSISTER
//information about all properties in class hierarchy
"/**	 * This form used from annotations (?).  Essentially the same as the above using a	 * resultset-mapping reference, but without cacheMode, readOnly, and comment.	 *	 * FIXME: annotations do not use it, so it can be remove from my POV	 * @deprecated	 *	 *	 * @param query The sql query string	 * @param resultSetRef The result-set-mapping name	 * @param querySpaces Any specified query spaces (used for auto-flushing)	 * @param cacheable Whether the query results are cacheable	 * @param cacheRegion If cacheable, the region into which to store the results	 * @param timeout A JDBC-level timeout to be applied	 * @param fetchSize A JDBC-level fetch-size to be applied	 * @param flushMode The flush mode to use for this query	 * @param parameterTypes parameter type map	 * @param callable Does the query string represent a callable object (i.e., proc)	 */"
// trying via forName() first to be as close to DriverManager's semantics
// Get the caller principals
// checkcast // cast the bean into a raw bean
// Create the FROM element for the target (the elements of the collection).
//the criteria instance
// swallow it, and continue to roll back JTA transaction
// Remove all the old entries
// Base Expectation impls ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Method expressions in a SELECT should always be considered scalar.
//Now write the values of fields onto the prepared statement
// belong to other persister // belong to other persister
// currently allowed...
//we must use the "remembered" uk value, since it is  //not available from the EntityEntry during assembly
//return AssociationType.FOREIGN_KEY_TO_PARENT; //this is better but causes a transient object exception...
//TODO: this is too conservative; if all preceding joins were  //      also inner joins, we could use an inner join here
// Various Expectation instances ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// --- Query translator methods ---
// we don't need to worry about any condition in the ON clause // here (toFromFragmentString), since anything in the ON condition // is already applied to the whole query
// TODO: Replace this with a more elegant solution.
//workaround for WebLogic
// This is an explicit FROM element.
//private String propertyName;
// Do nothing, eplicit from elements are *always* in the projection list.
//source.getPersistenceContext().removeNonExist( new EntityKey( id, persister, source.getEntityMode() ) );
// properties that we have tried to load, and not found in the database
//what is the version on the database?
// Its the listener class name
// it is possible for this method to be called during flush processing, // so make certain that we do not accidently initialize an uninitialized proxy
// String Functions ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//by default
// we are the RHS of the DOT representing a naked comp-prop-ref
// "pass along" our initial embedded parameter node(s) to the first generated // sql fragment so that it can be handled later for parameter binding...
// Don't need to lock the cache here, since if someone // else inserted the same pk first, the insert would fail
// we are already processing a dot-structure
// aggregate functions shouldn't be registered, right? //registerFunction( "list", new StandardSQLFunction("list",Hibernate.STRING) ); // stopped on $list
// return existing object or initialized proxy (unless deleted)
// process the "old" HQL style where aliases appear _first_ // ie. using the IN or IN CLASS constructions
// We can't change the TM on a running cache; just check // if the cache has no TM and we're OK with that
// This causes the factory to instantiate the desired class.
// we have to set up the table later!! yuck
// invokeinterface // callback.write*(..)
// Update the status of the object and if necessary, schedule an update
// we need to wrtap the param in a cast()
// try to "pretty print" it
// check if it is already completely loaded, but unowned
// this assumes schema support, which is present in 1.8.0 and later...
//NOTE SPECIAL CASE: // default to join and non-lazy for the "second join" // of the many-to-many
//TODO: copy/paste from recreate()
// Identity map of EntityEntry instances, by the entity instance
// add the comment // nest the main query in an outer select // add the rownnumber bit into the outer query select list
// If there are any scalars (non-entities) selected, render the select column aliases.
// new
// finally handle the exception
// if the property mapping consists of all formulas,  // make it non-updateable
"/*        Event anEvent = (Event) session                .createCriteria(Event.class).setFetchMode(""participants"", FetchMode.JOIN)                .add( Expression.eq(""id"", eventId) )                .uniqueResult(); // Eager fetch the colleciton so we can use it detached        */"
// TODO : this really needs to be delayed unitl after we definitively know all node types // where this is currently a problem is parameters for which where we cannot unequivocally // resolve an expected type
// Generate the select expression.
//Yuck:
// JBC put a version in the node when it created as part of // some internal operation. We are always newer, but if // the JBC version is > 1 something odd has happened
//HashMap columnsUnique = new HashMap();
// The loop ensures atomicity of the // select + update even for no transaction // or read committed isolation level
// aload_1 // load the bean
// MUTABLE
// nothing to do in a stateful session
//SPACES //TODO: i'm not sure, but perhaps we should exclude //      abstract denormalized tables?
// If the propertyType is null and there isn't a parent, just // stop now... there was a problem resolving the node anyway.
//values is not null and is checkable, we'll look deeper
// NOTE: this assumes something about how propertySelectFragment is implemented by the subclass! // was toUnqotedAliasStrings( getIdentiferColumnNames() ) before - now tried // to remove that unqoting and missing aliases..
// return false;
// note: interfaces is assumed to already contain HibernateProxy.class
// Read backwards until we read past the first physical sequential // row with the key we are interested in loading
// Need a better way to define the suffixes here...
// child == parent.getFirstChild()
//for arrays, replaceElements() may return a different reference, since //the array length might not match
// Following methods we don't delegate since they have so little logic // it's clearer to just implement them here
//fetch the generated id in a separate query
// generate id select fragment and then property select fragment for // each expression, just like generateSelectFragments().
// and this is not a forced initialization during flush
// for regression testing against output from the old parser... // found it easiest to simply reorder the FromElements here into ascending order // in terms of injecting them into the resulting sql ast in orders relative to those // expected by the old parser; this is definitely another of those "only needed // for regression purposes".  The SyntheticAndFactory, then, simply injects them as it // encounters them.
// perhaps this should be an exception since it is only ever used // in the above method?
// Constructors ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// For the case of dynamic-update="false", or no snapshot, we use the static SQL
// use old (HB 2.1) defaults if outer-join is specified
// TODO Why not use the timestamp in a DataVersion?
// add normal properties
//only necessary for postgre < 7.4 //http://anoncvs.postgresql.org/cvsweb.cgi/pgsql/doc/src/sgml/ref/create_sequence.sgml
"/** Create an action that will evict collection and entity regions based on queryspaces (table names).	 *  TODO: cache the autodetected information and pass it in instead.	 **/"
//This is not very nice (and quite slow):
// register hibernate types for default use in scalar sqlquery type auto detection
// Schedule updates to collections:
// scroll ahead
// Time and Date Functions ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// do not do anything
"//		scalarColumnAliases.add( typeReturn.getColumnAlias() ); //		scalarTypes.add( typeReturn.getType() );"
// if the corresponding SQL value is NULL, the reader we got is NULL as well
// You may still have other ResultSets or update counts left to process here  // but you can't do it now or the ResultSet you just got will be closed
// all clear
// RDMS has no known variation of a "SELECT ... FOR UPDATE" syntax...
// OPTIMISTIC LOCK MODE
//public Object instantiate(Object parent, SessionImplementor session) throws HibernateException;
//int count = 0;
// implicit joins are always(?) ok to reuse
//TODO: suck into event class
// for deprecated saveOrUpdateCopy()
// For pessimistic locking, we just want to toss out our ref // to any old invalid root node and get the latest (may be null)
//allow index() function:
// don't care about other param types here, just those explicitly user-defined...
// KEY
// unfortunately not really safe to normalize this // to 1 as an initial value like we do the others // because we would not be able to control this if // we are using a sequence...
// now update all changed or added rows fks
// properties generated on update can never be updateable...
//TODO: for some dialects it would be appropriate to add the renderOrderByPropertiesSelect() to other select strings
// If a where clause was specified in the update/delete query, use it to limit the // returned ids here...
// do the work
// then handle any user-defined entity modes...
//first look for a reference to a projection alias
// cascade the refresh prior to refreshing this entity
// First allow the actual type to control the return value. (the actual underlying sqltype could actually be different)
// perform the actual work
//expressionOpeners.add(","); // deliberately excluded
//TODO: cache the persister, this shows up in yourkit
//pass the entity-name, if not a collection-id
// null is not considered the same type as Integer. //$NON-NLS-1 //$NON-NLS-1
// TODO: encapsulate the protected instance variables!
// TODO : perhaps we should additionally require that the incoming entity // version be equivalent to the defined unsaved-value?
//always overwrite nonversioned data
/*&& StringHelper.isNotEmpty( frag )*/
// invokespecial // BulkAccessorException.<init>
// we have the form: trim(trimSource) //      so we trim leading and trailing spaces // EARLY EXIT!!!!
// Not a collection? // Return the entity property mapping.
// Case 1: Multi token keywords GROUP BY and ORDER BY // The next token ( LT(2) ) should be 'by'... otherwise, this is just an ident.
// This, is used by SessionFactoryImpl to hand to the generated SessionImpl; // was the only reason I could see that we cannot just use null as // Settings.cacheProvider
// state ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// at some point the processing went bad, so we need to: //      1) make sure the connection handle gets released //      2) try to cleanup the JTA context as much as possible
// getfield // get field "$JAVASSIST_CALLBACK" defined already
// get a connection from the pool (thru DriverManager, cfr. Proxool doc)
"/*public PropertyProjection project() {		return Projections.property(getPropertyName());	}*/"
// todo : should this get moved to PersistentContext? // logically, is PersistentContext the "thing" to which an interceptor gets attached?
// the mapping of entity names to their latest batch numbers.
// we are using "all" or "dirty" property-based optimistic locking
// polymorphism not really handled completely correctly, // perhaps...well, actually its ok, assuming that the // entity name used in the lookup is the same as the // the one used here, which it will be
// Otherwise, this is a primitive type.
// map of EntityMode -> Tuplizer
// is a primitive type // invokespecial
// "loaded" means the reference that is consistent  // with the current database state
//TODO possibly relax that
"/*	 * The types represented in the SQL result set.	 *	 * @return The types represented in the SQL result set.	 */"
//yuck!
// actual cache of the entries.  soft references are used for both the keys and the // values here since the values pertaining to the MRU entries are kept in a // seperate hard reference cache (to avoid their enqueuement/garbage-collection).
// TODO : we really need to be able to deal with component paths here also; // this is difficult because the hql-sql grammar expects all those node types // to be FromReferenceNodes.  One potential fix here would be to convert the // IntoClause to just use a FromClause/FromElement combo (as a child of the // InsertStatement) and move all this logic into the InsertStatement.  That's // probably the easiest approach (read: least amount of changes to the grammar // and code), but just doesn't feel right as then an insert would contain // 2 from-clauses
// Case 2: The current token is after FROM and before '.'.
// limit the methods available if no transaction is active
//Open any extra brackets we might need.
//registerFunction( "trim", new StandardSQLFunction( "trim", Hibernate.STRING ) );
// Create nodes that track line and column number.
//by default, natural-ids are "immutable" (constant)
// Don't really know all the codes required to adequately decipher returned jdbc exceptions here. // simply allow the failure to be eaten and the subsequent insert-selects/deletes should fail
//then by id
//after setting values to object, entityMode
//optimistic-lock="all", include all updatable properties //optimistic-lock="dirty", include all properties we are updating this time
// Impl Note: allows multiple collection fetches as long as the // entire fecthed graph still "points back" to a single // root entity for return
// UNIQUE VIOLATION
// --Commented out by Inspection (12/4/04 9:10 AM): public abstract void addCondition(String alias, String[] columns, String condition);
// ParameterContainer impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// TODO: is it really neceassry to provide Configuration to CollectionPersisters ? Should it not be enough with associated class ? // or why does EntityPersister's not get access to configuration ? // // The only reason I could see that Configuration gets passed to collection persisters // is so that they can look up the dom4j node name of the entity element in case // no explicit node name was applied at the collection element level.  Are you kidding me? // Trivial to fix then.  Just store and expose the node name on the entity persister // (which the collection persister looks up anyway via other means...).
// load()/get() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//addInitializedCollection(collection, persister, id);
// case of non-static field
// the ids are fully resolved, so compare them with isDirty(), not isModified()
//the load() which takes an entity does not pass an entityName
// remember that ordinal parameters numbers are 1-based!!!
// properties of this class, including inherited properties
// Handle any filters applied to this collection for many-to-many
// Not possible to simply re-use the versionPropertyNode here as it causes // OOM errors due to circularity :(
// if doc is null, then for whatever reason, the cached file cannot be used...
//TODO: copy/paste from insertRows()
//can't reuse in this case
//swaldman 2006-08-28: define c3p0-style configuration parameters for initialPoolSize, which //                     hibernate sensibly lets default to minPoolSize, but we'll let users //                     override it with the c3p0-style property if they want.
//tokens that close a sub expression //tokens that open a sub expression //tokens that would indicate a sub expression is a boolean expression
//the BLOB type requires a size arguement - this defaults to //bytes - no arg defaults to 1 whole byte! //other argument mods include K - kilobyte, M - megabyte, G - gigabyte. //refer to the PBdevelopers guide for more info.
// get meta's from <class>
// if the condition is not already there...
//TODO: handle the case of a foreign key to something other than the pk
//to stop the class from being unloaded
// can't cache this stuff either (per-invocation) // we are given a map of user-alias -> lock mode // create a new map of sql-alias -> lock mode
// todo : what else to do here?
// subclass accesses ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// check nullability but do not perform command execute // we'll use scheduled updates for that.
// checkcast // cast bean
// If the workspace node has null as well, OK; if not we've // been modified in a non-comparable manner, which we have to // treat as us being newer
// legacy behavior, apply the bridge...
//unsupported
//pass this as an argument only to avoid double looking
// according to both the ANSI-SQL and EJB3 specs, trim can either take // exactly one parameter or a variable number of parameters between 1 and 4. // from the SQL spec: // // <trim function> ::= //      TRIM <left paren> <trim operands> <right paren> // // <trim operands> ::= //      [ [ <trim specification> ] [ <trim character> ] FROM ] <trim source> // // <trim specification> ::= //      LEADING //      | TRAILING //      | BOTH // // If only <trim specification> is omitted, BOTH is assumed; // if <trim character> is omitted, space is assumed
// Custom SQL
// putfield // put field "$JAVASSIST_CALLBACK" defined already
// Now update only the tables with dirty properties (and the table with the version number)
// standard sql92 functions (can be overridden by subclasses)
// here we do not bother with the discriminator.
//handle HQL2 collection syntax
// no big deal
// why is all others non final ?
// This inner class implements a case statement....perhaps im being a bit over-clever here
"//	private final String[] sqlAliases; //	private final String[] sqlAliasSuffixes;"
// collections detect changes made via their public interface and mark // themselves as dirty as a performance optimization
// this object was already loaded
//special case
// -- Loader overrides --
// this is an internal error of some sort...
//TODO: optimize away this lookup for entities w/o unsaved-value="undefined"
//TODO: need some caching scheme? really comes down to decision  //      regarding amount of state (if any) kept on PropertyAccessors
// Loaded entity instances, by EntityKey
// TODO : most of below was taken verbatim from DotNode; should either delegate this logic or super-type it
// Due to the complexity in initializing the SelectClause, do not generate one here. // If it is not found; simply return null... // // Also, do not cache since it gets generated well after we are created.
//SQL Exception converter:
//then by fk
//take note when this is a boolean expression
// GUID support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//reset the id
//TODO: is this 100% correct?
// -- Loader implementation --
//TODO: bad implementation, cos it depends upon ordering of mapping doc //      fixing this requires that Collection/PersistentClass gain access //      to the Mappings reference from Configuration (or the filterDefinitions //      map directly) sometime during Configuration.buildSessionFactory //      (after all the types/filter-defs are known and before building //      persisters).
// TODO : will need reference to session factory to fully complete HHH-1907
// if the metadata allowed proxy creation and caller did not request forceful eager loading, // generate a proxy
// Print page
// in case we were deserialized in a different JVM, look for an instance with the same name // (alternatively we could do an actual JNDI lookup here....)
//now we might need to recalculate the dirtyProperties array
// both are Timestamps
// user supplied JDBC connections
// to be safe...
//default mode
// only one-to-one is lazy fetched
// index of current iterator in the wrapped iterators array
// we know only the rhs-hand type, so use that
// State ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// create the node initially with the param name so that it shows // appropriately in the "original text" attribute
//no point doing this if NONE was requested
// prepend value and type list with null for any positions before the wanted position.
// entityNames may now include slashes for the representations //classname may be an inner class
// Get an exclusive right to update JBC for this key from this node.
// Make sure this is a defined parameter and check the incoming value type
// look for the instance by uuid
//do this work only at the very highest level of the load //don't let this method be called recursively
//Close extra brackets we opened
// we have something like : "lhs [op] ?"
// should not be able to reach last without maxPosition being set // unless there are no results
// Private constructor - stops checkstyle from complaining.
// we have the form: trim(from trimSource). //      This is functionally equivalent to trim(trimSource) // EARLY EXIT!!!!
// return the concrete type, or the underlying type if a concrete type // was not specified
// Set up the cache factory
// orphans should be deleted during delete
// Initialize the error handling delegate.
//cache the hashcode
// the case of a foreign key to something other than the pk is handled in createPropertyRefConstraints
// TRUE if the pool is borrowed from the outside, FALSE if we used to create it
// Next, try to locate this resource through this class's classloader
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ // Post-flushing section // ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// set the name of bulk accessor.
//workaround, for backward compatibility of sets with no //not-null columns, assume all columns are used in the //row locator SQL
"//		registerColumnType( Types.VARCHAR, 16777215, ""mediumtext"" );"
// we need to grab the version value from the entity, otherwise // we have issues with generated-version entities that may have // multiple actions queued during the same flush
//count++;
// only carry on if the method has no parameters
/// HHH-2378
// Render the identifier select fragment using the table alias.
// start by looking for HQL keywords...
//TODO: this is temporary in that the end result will probably not take a Property reference per-se.
//TODO: add a CriteriaImplementor interface //      this class depends directly upon CriteriaImpl in the impl package...
// Multi-param date dialect functions...
// Configurable implementation ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//allow 9,8,7,6,5,4,3,2,1
// VERSION / TIMESTAMP
// important, to account for newly saved entities in query // todo : some kind of check for new status...
// the entity associated with the current action.
// get the id from the object
// See if we had a 2nd invalidation from the same initial // preinvalidation timestamp. If so, only increment // if the new current value is an increase
// If the provider was leeching off an existing pool don't close it
//even process null collections
// this is ugly here, but needed because its a subquery
// try block is a hack around fact that currently tuplizers are not // given the opportunity to resolve a subclass entity name.  this // allows the (we assume custom) interceptor the ability to // influence this decision if we were not able to based on the // given entityName
// todo : add the notion of enabled filters to the CacheKey to differentiate filtered collections from non-filtered; //      but CacheKey is currently used for both collections and entities; would ideally need to define two seperate ones; //      currently this works in conjuction with the check on //      DefaultInitializeCollectionEventHandler.initializeCollectionFromCache() (which makes sure to not read from //      cache with enabled filters). // EARLY EXIT!!!!!
//this bit is only *really* absolutely necessary for handling //requestedId, but is also good if we merge multiple object //graphs, since it helps ensure uniqueness
// Some JDBC drivers erroneously return an empty array here for a null DB value :/
// this property belongs to the table and it is not specifically // excluded from optimistic locking by optimistic-lock="false"
//Named Queries:
// both many-to-one and one-to-one are represented as a // Property.  EntityPersister is relying on this value to // determine "lazy fetch groups" in terms of field-level // interception.  So we need to make sure that we return // true here for the case of many-to-one and one-to-one // with lazy="no-proxy" // // * impl note - lazy="no-proxy" currently forces both // lazy and unwrap to be set to true.  The other case we // are extremely interested in here is that of lazy="proxy" // where lazy is set to true, but unwrap is set to false. // thus we use both here under the assumption that this // return is really only ever used during persister // construction to determine the lazy property/field fetch // groupings.  If that assertion changes then this check // needs to change as well.  Partially, this is an issue with // the overloading of the term "lazy" here...
// Write HTML footer
// just ignore
//return memberPersister.toColumns(alias, propertyName);
// first time we find match!
// schedule the update // note that we intentionally do _not_ pass in currentPersistentState!
// Correlated subqueries create 'special' implied from nodes // because correlated subselects can't use an ANSI-style join
//TODO mappings.getLogicalTableName(ownerTable)
// Look through the FromElement's children to find any collections of values that should be fetched...
"/*				 * Property prop = new Property(); prop.setName(""id"");				 * prop.setPropertyAccessorName(""embedded""); prop.setValue(id);				 * entity.setIdentifierProperty(prop);				 */"
/* current stack len = 2 */
// worrying about proxies is perhaps a little bit of overkill here...
// byte
//Cope with a subselect
// let the interceptor inspect the instance to decide
// dynamic filters for the collection
// the root of the incoming property path matched one // of the embedded composite identifier properties
// visit width-first, then depth
// #3 - note that this is also true of "datetime - :param"...
// todo : i'd much rather have this done from #endLoadingCollection(CollectionPersister,LoadingCollectionEntry)...
// select the correct row by either pk or rowid
// build the map of standard ANSI SQL aggregation functions ~~~~~~~~~~~~~~~
// generated properties can *never* be insertable...
//TODO: reuse the PreLoadEvent
// Find the WHERE; if there is no WHERE, find the FROM...
"/* TODO: joinKeyColumnName & foreignKeyColumnName should be called either here or at a			 * slightly higer level in the stack (to get all the information we need)			 * Right now HbmBinder does not support the			 */"
//search for it //note that this code is incorrect for other than one-to-many
// treat it as a classname
//TODO: if we support multiple fetch groups, we would need //      to clone the set of lazy properties!
// TODO : shouldnt inserts be Expectations.NONE?
// HHH-2481 make sure the callback gets cleared, otherwise the instance stays in a static thread local.
//public boolean isSubselectLoadable();
// cache the actual id of the object, not the value of the // property-ref, which might not be initialized
//TODO: refactor to .sql package
// a collection loaded in the current session // can not possibly be the collection belonging // to the entity passed to update()
//TODO: need to make the majority of this functionality into a top-level support class for custom impl support
// Parse the query string into an HQL AST.
// According to both the ANSI-SQL and JPA specs, trim takes a variable number of parameters between 1 and 4. // at least one paramer (trimSource) is required.  From the SQL spec: // // <trim function> ::= //      TRIM <left paren> <trim operands> <right paren> // // <trim operands> ::= //      [ [ <trim specification> ] [ <trim character> ] FROM ] <trim source> // // <trim specification> ::= //      LEADING //      | TRAILING //      | BOTH // // If <trim specification> is omitted, BOTH is assumed. // If <trim character> is omitted, space is assumed
//assume true, since we don't really know, and it doesn't matter
// we want to be able to just use the defaults, // if JNDI environment properties are not supplied // so don't put null in anywhere
//implicit polymorphism not supported (would need a union)
// The basic implementation is to simply use the node's text
/*&& !indexIsFormula*/
// handle a path expression or class name that // appears at the start, in the "new" HQL // style or an alias that appears at the start // in the "old" HQL style
// the class hierarchy structure
// todo : remove this and just have subclasses use Isolater/IsolatedWork directly...
//TODO: ideally we need the construction of PropertyAccessor to take the following: //      1) EntityMode //      2) EntityMode-specific data (i.e., the classname for pojo entities) //      3) Property-specific data based on the EntityMode (i.e., property-name or dom4j-node-name) // The easiest way, with the introduction of the new runtime-metamodel classes, would be the // the following predicates: //      1) PropertyAccessorFactory.getPropertyAccessor() takes references to both a //          org.hibernate.metadata.EntityModeMetadata and org.hibernate.metadata.Property //      2) What is now termed a "PropertyAccessor" stores any values needed from those two //          pieces of information //      3) Code can then simply call PropertyAccess.getGetter() with no parameters; likewise with //          PropertyAccessor.getSetter()
// use the id value of a newly instantiated instance as the unsaved-value
// remove any snapshot, not really for memory management purposes, but // rather because it might now be stale, and there is no longer any  // EntityEntry to take precedence // This is now handled by removeEntity() //session.getPersistenceContext().removeDatabaseSnapshot(key);
//take a snapshot
// decode row selection...
// do a check
// IDENT might be the name of a class.
// We have the JBCWriteMutex, so no other *local* thread will  // be trying to write this key.  // It's possible here some remote thread has come in and // changed the values again, but since we are reading the // values to write to JBC right now, we know we are writing // the latest values; i.e. we don't assume that what we cached // in entry.update() above is what we should write to JBC *now*. // Our write could be redundant, i.e. we are writing what // some remote thread just came in an wrote.  There is a chance  // that yet another remote thread will update us, and we'll then // overwrite that later data in JBC.  But, all remote nodes will // ignore that change in their localCache; the only place it  // will live will be in JBC, where it can only effect the  // initial state transfer values on newly joined nodes  // (i.e. populateLocalCache()).
//TODO: Yuck! This is not quite good enough, it's a quick //hack around the problem of having a to-one association //that refers to an embedded component:
// starts with a path expression (new style)
// (NOT (LE a b) ) => (GT a b)
//a composite key
// POLYMORPHISM
// index should be last column listed
// get the elements back into the target making sure to handle dirty flag
// The property is a component...
// from javax.naming.Referenceable
"//		return !isOneToMany();"
// custom sql
//do this bit after setting initialized to true or it will recurse
// -- Implementation private methods --
//process a token, mapping OO path expressions to SQL expressions
// Try to find out the name of the primary key to create it as identity if the IdentityGenerator is used
// NativeSQL: collect index column and auto-aliases
// unfortunately this stuff can't be cached because // it is per-invocation, not constant for the // QueryTranslator instance
//TODO: this bit actually has to be called after all cascades! //      but since identity insert is called *synchronously*, //      instead of asynchronously as other actions, it isn't
//Primary key constraint
// build an array with indices equal to the total number // of actual returns in the result Hibernate will return // for this query (scalars + non-scalars)
// increment the version number (if necessary)
// could be either an ordinal or JPA-positional parameter
// we have the form: trim(trimSource) //      so we trim leading and trailing spaces
