// line 706
// produce a nicer error since Rubyists aren't used to seeing this
// line 1326
// line 821
// Do not open as 'rw' by default since a file with read-only permissions will fail on 'rw'
// line 574
// ok, now it gets expensive...
// MRI also does a pointer comparison here
// synchronize on the RubyThread for threadgroup updates
// Scope (method/closure) to which this cfg belongs // Entry BB -- dummy // Exit BB -- dummy // The actual graph // Next available basic block id
// variable args with block
// line 916
// line 1886
// jump and branch operations
// line 1516
// Doesn't fit in buffer. Write immediately. // ensure nothing left to write
// SSS FIXME: Is this correctly placed ... at the end of the loop iteration?
// trigger class initialization for the class
// If no explicit block passed to super, then use the one passed in, unless it's explicitly cleared with nil
//System.err.println(" calculateLength()/str=" + str);
// line 457
// leave as a normal array
// We want unique ids for dataflow variables
//          context.swapValues(); //context.consumeCurrentValue();
// FIXME: This is gross. Don't do this.
// we know variables cannot be null since localstaticscope will create a 0 length one.
"/*case CONSTNODE:                handleUselessWarn(node, ""a constant""); return;*/"
// First, build assignments for specific named arguments
// See if we already have this descriptor open. // If so then we can mostly share the handler (keep open // file, but possibly change the mode).
// note that we'll potentially see the refs for both the java object and // proxy -- whichever we see first will cause the entry to be removed; // the other will not match an entry and will be ignored.
// very restrictive policy (disallows Member.PUBLIC) // we'd never actually get this far in that case
//            case RESCUENODE: return buildRescue(node, m); // DEFERRED //            case RETRYNODE: return buildRetry(node, m); // DEFERRED // done
// line 382
// Next x                                        // e = d - x^2
// line 1746
// don't bother to check if final method, it won't // be there (not generated, can't be!)
//this test may be too lax but it is the same as in MRI
// static methods only
//Octal
// These are not really used by timeout, but exposed for compatibility
// silently ignore
// This is needed to unpack stuff
// This looks wrong, but it's the way MRI does it.
//private UnsynchronizedStack frameStack;
// Java's select doesn't do anything about this, so we leave it be.
// line 980
// TODO: Add IR instructions for checking method arity! // s.getVariableCompiler().checkMethodArity(required, opt, rest);
// insert all nodes in sequence, hash them in the final instruction // KEY
// line 1329
// TODO: what about n arg?
// line 454
// If a line is followed by a blank line put // it back.
// Make a nil node if no body.  Notice this is not part of AST.
// prepare to call class definition method
// TODO: missing additional logic for dealing with conflicting protected fields.
// ignore; I don't like doing it, but it seems like we // really just need to make all channels non-blocking by // default and use select when implementing blocking ops, // so if this remains set non-blocking, perhaps it's not // such a big deal...
// Methods of the Nil Class (nil_*):
// Note that this object equality check is intentional, to ensure // the string and its interned version are the same object.
// // Synchronize and re-check to avoid creating more than one Selector per provider //
// line 638
// rename is successful
// end of try block
// A 'next' is like a local return from the block, ending this call or yield.
// line 907
// line 1837
// Build a dummy static method for the class -- the scope in which all definitions, and class code executes, equivalent to java clinit
// one optional, one required args
/* \xHH */
// the default allocator
// only a marker interface
// finally, grab the script
// leftToken made us start as nest 1
// too much array creation!
// range_each_func(range, step_i, b, e, args);
// if it's a ./ baseName, use CWD logic
// first try as directory
/*arg1*/
// Block
// The current block is already associated with proc.  No need to create a new one
// Struct methods
// line 948
// load target for invocations
// must be a public method
// Are we lexing Ruby 1.8 or 1.9+ syntax
//yyRindex 889
// switch // will use this if we have to go back the slow way
// line 274
// The method doesn't need a scope, but has static scope needs; use a dummy scope
// Store each line into this list if not null.
// just push the same empty scope, since we won't use one
// ?w  | boolean | True if file1 exists and is writable by effective uid/gid
// FIXME: move out of this class!
// if __send__ with a literal symbol, compile it as a direct fcall
// no silly ticks!
// get runtime, create jump error, and throw it
// build first node (and ignore its result) and then second node
// line 956
//if the low bit is set //set the high bit of the result
// normal items at the front or back of the masgn
// Where we get new positions from.
// single method, use normal logic
// force static scope to claim restarg at 0, so it only implements the [] version of __file__
// line 503
// line 1649
// TODO: read into buffer using all the fread logic //        int read = openFile.getMainStream().fread(buffer);
// receiver
// done // done // done // done
// do nothing, allow loop to retry
// For 'b.foo'
// event name // filename // line numbers should be 1-based
// FIXME: This table will get moved into POSIX library so we can get all actual supported // signals.  This is a quick fix to support basic signals until that happens.
// line 534
// Ruby's designation for some platforms, minus version numbers in some cases
// line 1043
"/** rb_ary_push_m     * FIXME: Whis is this named ""push_m""?     */"
// load arity for check
// TODO: get rid of this (lax returns 0.0, strict will throw)
//$@ returns nil if $!.backtrace is not an array
// We parse evals more often in source so assume an eval parse.
// MRI doesn't flag it as an error if width is given multiple // times as a number (but it does for *)
// Now, for all variables used by 'i' mark them live before 'i'
// Equivalent of Data_Wrap_Struct
// line 1320
// construct static scope list of names
// TODO this is really ineffient, and potentially a problem everytime anyone require's something. // we should try to make LoadPath a special array object.
// start a new populator
//[String] //[String, String] //[String] //[String, RubyClass] //[String, RubyClass, RubyClass] //[String, RubyClass]
// fallback on non-pregenerated logic
// void methods should work
// This is a fairly specific hack for empty string, but it does the job
// next as regular file
// line 341
// form feed
// Colon3
// method is done, declare all variables
// SSS FIXME: Maybe this is not really a concern after all ... // Nesting level of this scope in the lexical nesting of scopes in the current file -- this is not to be confused // with semantic nesting of scopes across files. // // Consider this code in a file f // class M1::M2::M3::C  //   ... // end // // So, C is at lexical nesting level of 1 (the file script is at 0) in the file 'f' // Semantically it is at level 3 (M1, M2, M3 are at 0,1,2). // // This is primarily used to ensure that variable names don't clash! // i.e. definition of %v_1 in a closure shouldn't override the use of %v_1 from the parent scope! //    private int _lexicalNestingLevel;
// end of scoping for closure's vars
// declare the field
/* rb: check_modifiable */
/* white spaces */
//System.err.println(" figureOutBase/base=" + base);
/* ignore backslashed spaces in %w */
// Require in all libraries specified on command line
// TODO: check for Java reserved names and raise exception if encountered
// line 506
// sic
// prepare to call "def" utility method to handle def logic
// remove leading whitespace (includes _ for lax) // get sign, if any
// obtain d
// value is already on stack, save it for later
// "else" body
// ?=  | boolean | True if the modification times of file1 and file2 are equal
// int, native
// line 329
// rounding neccessary
// NIO based pipe
//char hexValue = scanHex(2);
// single precision, little-endian
// base
// unread back
// line 1550
// @JRubyMethod(name = "new", meta = true, visibility = Visibility.PRIVATE)
// method has more than 500 lines; we'll need to split it // and therefore need to use a heap-based scope
// load handle
// line 1672
// line 1133
// We could probably also detect if LHS value came out of cache and avoid some of this
// backspace
// create the class
// coerce arguments
// I believe Ruby bails out with a "bug" if closing fails
// line 1144
// line 476
// If \r\n then just pass along \n (windows).  // If \r[^\n] then pass along \n (MAC).
// if there's args left and we want them, assign to rest arg
// line 947
// load arguments into IRubyObject[] for dispatch
// Expand variables, Indentation of final marker
// rb_iterate((VALUE(*)_((VALUE)))str_step, (VALUE)args, step_i, (VALUE)iter);
// entry is the first element of this bucket
// Define the annotation for the method
// If we could not find the constant from cref..then try getting from inheritence hierarchy
// regular division with some default precision // TODO: proper algorithm to set the precision
// line 857
// List of modules, classes, and methods defined in this scope!
// update all subclasses
// If an IO exception occurs (something odd, but possible) // A directory may return null.
// Has the method that is calling super received a block argument
/* $/: input record separator */
// line 1078
// Unlike WeakHashMap, our Entry does not subclass WeakReference, but rather // makes it a final field.  The theory is that doing so should force a happens-before // relationship WRT the WeakReference constructor, guaranteeing that the key will be // visibile to other threads (unless it's been GC'ed).  See JLS 17.5 (final fields) and // 17.4.5 (Happens-before order) to confirm or refute my reasoning here.
// SET_P
// line 521
/* -------------- Packaged/protected fields and methods below ---------------- */
// string doesn't have it's own ByteList (values)
// FIXME: Make thread pool threads daemons if necessary
// Only in ruby 1.9 methods
// just using required is broken...but no more broken than before zsuper refactoring
// add all public constructors (note: getConstructors only returns public ones)
// line 1660
// IRubyObject, DynamicMethod, RubyClass, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String, args
// if we haven't encountered a real superclass, use the found module as the new inclusion point
/* ENEBO: arg surrounded by in_defined set/unset*/
// TODO: It's perhaps just a coincidence that all the channels for // which we should raise are instanceof SelectableChannel, since // stdio is not...so this bothers me slightly. -CON
// line 1812
// block (primary)
// This is perhaps innefficient timewise?  Optimal spacewise
// if it's not a rescue or ensure, there's a frame associated, so decrement
// String construction routines by NOT byte[] buffer and making the target String shared
// generate block bodies initialization code
// sign
// promise to implement two to three
// TODO: the rest of this...seeking to same position is unnecessary since we share a channel // but some of this may be needed?
// prepare a faster handle if handles are enabled and the method and class are public
// Equivalent of Data_Get_Struct // This will first check that the object in question is actually a T_DATA equivalent.
// (1|intlen).prec
// SSS FIXME: Can this return anything other than nil?
// flush first
// block.yield depends on null to represent empty and nil to represent nil - [nil] vs [] //assert argsNode != null : "argsNode is not null";
// FIXME: We should not be regenerating this over and over
// Create list of interfaces to proxy (and make sure they really are interfaces)
// Create block for this iter node // FIXME: We shouldn't use the current scope if it's not actually from the same hierarchy of static scopes
// Profile
//Do not add an empty string node
// Clone all remaining nodes
// FIXME: wtf is this? Why would these use the class?
// Need to initialize
// line 1328
// An atomic long for generating DynamicMethod serial numbers
/* FIXME: We may be intern'ing more than once.*/
// Translate "ret = (a && b)" --> "ret = (a ? b : false)" --> //  //    v1 = -- build(a) -- //       OPT: ret can be set to v1, but effectively v1 is false if we take the branch to L. //            while this info can be inferred by using attributes, why bother if we can do this? //    ret = false    //    beq(v1, false, L) //    v2 = -- build(b) -- //    ret = v2 // L: //
// single precision, big-endian
// promise to implement three
// line 1369
// FIXME: optimize for cases where we have no false branch
// // Avoid double-copying for reads that are larger than the buffer size //
// upper case name, so most likely a class
// Look for slash, starting from 'start' position, until 'end'.
// invoke callMethodMissing
// Return false here
// line 552
// assert level == 0;
// // Add aliases in Type::*, NativeType::* and FFI::TYPE_* //
// no candidates? Fail.
// Error info is per-thread
//Everything written
"/** * * @author headius * FIXME convert to enum ? */"
// line 797
// we force argParamCount to 1 since we always know we'll have [] args
// record separator var, to speed up io ops that use it
// v is defined => It is no longer live before 'i'
// line 972
// Uncomment the "puts" lines if you want to see more detail
// add all instance and static methods
// Run the pass on the passed in scope!
// For 'list' and only populated if list is not null.
// notify thread to proceed
// Long-hand (e.g. %Q{}).
// If we're running in 1.9 compat mode, add Ruby 1.9 libs to path before 1.8 libs
// TODO: Determine whether we should perhaps store non-singleton class // in the implementationClass
/* If the value will fit in a Fixnum, return one of those. */
// rb_cstr_to_dbl case
// FIXME: process options
// line 967
// line 958
// line 1638
// line 1072
//if the length is not a multiple of 8 //we need to pad the last byte
// Check if the method has been explicitly excluded
// call isTrue on the result
"/*    @JRubyMethod    public IRubyObject to_proc() {        return RubyProc.newProc(getRuntime(),                                CallBlock.newCallClosure(this, getRuntime().getSymbol(), Arity.noArguments(), new ToProcCallback(this), getRuntime().getCurrentContext()),                                Block.Type.PROC);    }    */"
// Start of string ([, (, {, <, ', ", \n)
// line 1963
// filter out any Java primitive names // TODO: should check against all Java reserved names here, not just primitives
// depends on IO, FileTest
// TODO: list.subList(from, to).clear() is supposed to clear the sublist from the list. // How can we support this operation?
// Handle Flow exceptions, just propagating them
// line 1026
// eval value for assignment
// io.available() only returns 0 after EOF is encountered // so we need to differentiate between the empty string and EOF
// line 1045
// terminate and advance buffer when we find our char
// if refcount is at or below zero, we're no longer valid
// compile first node as non-expr and compile second node
//yySindex 889
// do not load the class if not used
// FIXME: Ideally JavaObject instances should be marshallable, which means that // the JavaObject metaclass should have an appropriate allocator. JRUBY-414
// TODO: This and recacheRespondsTo needed to be synchronized for JRUBY-3466, // but this degraded performance nearly 2x. It's still faster than MRI, but // a reanalysis of this code may show a faster way to ensure we're caching // safely.
// captures // begin and end are used when not groups defined // source string
// Pickaxe says @@ must be followed by a name character, but MRI // does not require this.
// TODO: cache?
// Remove any relative prefix, e.g. "./foo/bar" becomes "foo/bar".
// no extra args for rest
// already have some bytes buffered, just return those
/* Try and unload the autoload specified from internedName */
// fall back on empty env when security disallows environment var access (like in an applet)
// double first because it's what float claims to be
/* Module class methods */
// line 1607
// oh, well, it was worth a try. go let // Double/FloatingDecimal handle it
// line 1510
// line 351
// line 670
// line 1004
// is_something?, contains_thing?
// from DUP_SETUP // rb_copy_generic_ivar from DUP_SETUP here ...unlikely..
// For b.foo
// Ignore bad constant named inner classes pending JRUBY-697
// Map of label & basic blocks with that label
// If variables were added then we may need to grow the dynamic scope to match the static // one. // FIXME: Make this so we only need to check this for blockScope != null.  We cannot // currently since we create the DynamicScope for a LocalStaticScope before parse begins. // Refactoring should make this fixable.
//Catch active, throw for catch to handle
//        case 4: //        case 5:
// We need this loop in order to be able to "unblock" the // join call without actually calling interrupt.
// Our name holder (offsets are assigned as variables are added
// walk all superclasses aggregating interfaces
// Zero sleeps forever
// save blocking state
// Frame is extraneous runtime information, skip it unless debug
// line 616
// this really needs to be inlined here
// TODO: notify threads waiting on descriptors/IO? probably not...
// initialize builtin libraries
// suboptimal for large hashes (> 1073741824 + 85 entries) not very likely to happen
// fall back on env entry for USER
//      System.err.println("***ObjectProxyCache " + id + " started at "+ new java.util.Date());
// SSS FIXME: Should this be Operand or CompoundString? // Can it happen that symbols are built out of other than compound strings?   // Or can it happen during optimizations that this becomes a generic operand?
// line 397
// odd
// By default, NO_FLUSH
// can't select, just have to do a blocking call
//////////////////////////////////////////////////////////////////////////// // Now we provide default impls of a number of signatures. For each arity, // we first generate a non-block version of the method, which just adds // NULL_BLOCK and re-calls, allowing e.g. compiled code, which always can // potentially take a block, to only generate the block-receiving signature // and still avoid arg boxing. // // We then provide default implementations of each block-accepting method // that in turn call the IRubyObject[]+Block version of call. This then // finally falls back on the minimum implementation requirement for // dynamic method handles. ////////////////////////////////////////////////////////////////////////////
// "head" must have no non-trivial assigns (array groupings, basically)
// line 286
// line 498
// neither
// FIXME: Clearing read buffer here...is this appropriate?
// attribute set.
// two args, no block; do nothing
// line 1247
// invoke method
//            assert internedName == internedName.intern() : internedName + " is not interned";
// deal with case when "other" is not a string
// FIXME: this should go somewhere more generic -- maybe IdUtil
// Explicit zero in MRI returns immediately
// ////////////////// INTERNAL MODULE VARIABLE API METHODS //////////////// //
// line 1130
// just unix
// switch // for
// use this for JRuby-internal finalizers
// we'll only map conventional class names to modules
// no such luck...
// switch to an allocator based on a default constructor
// load arity for error
// we have read ahead, and need to back up
// Bootstrap the top of the hierarchy
// TODO: handle writing into original buffer better
// line 8143 "-"
// line 604
// TODO: check if too many open files, GC and try again
// always false or nil
// used by compiler
// otherwise, it's a literal array
// line 417
// handle redos by restarting the block
/* Nothing to do by default */
// FIXME: If true array is common enough we should pre-allocate and stick somewhere
// RubySignal
// long first because it's what Fixnum claims to be
// at end
//yyRindex 945
// try to get errno value out of the class
// line 922
// line 1775
// SSS FIXME: What is the difference between ClassVarAsgnNode & ClassVarDeclNode
// Label for the start of the method // Label for the end of the method
// FIXME: I don't like this
// only include static methods if specified
// MUST be called from synchronized/locked block! // should only be called by variableTableStore/variableTableFastStore
//reopen
// Remaining arguments are for the script itself
// add alias to meta
// line 766
// for regular expressions with the /o flag
// ACTIONS_END
// rest arg must be splatted
// future is done or cancelled, skip it
// TODO: Ruby re-checks that the buffer string hasn't been modified
// can't set TC classloader
// IRubyObject, DynamicMethod, RubyClass, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String, IRubyObject
// backslash
// decimal form, like (but not *just* like!) 'f'
// ?b  | boolean | True if file1 is a block device
// line 579
// line 872
// line 1935
// We use offset here to keep track of extra newlines for windows
// Next v                                        // g = 1 - 2*x*v
// line 326
// now used as an interpreter event
// All braces pushed..
// w_symbol
// TODO: protected methods.  this is going to require a rework of some of the mechanism.
// line 812
// get current context
// normal case, create a new label
// Toplevel defines
/* constant vector a */
// always need at least a 0
/* --------- Protected fields/methods below --------- */
// No required specified, check actual number of required args
// line 556
// add Script#run impl, used for running this script with a specified threadcontext and self // root method of a script is always in __file__ method
/* NOEX_PRIVATE for toplevel */
// marsaling dumps usec, not msec
// a normal block passed to define_method changes to do arity checking; make it a lambda
// normal return for method body. return jump for within a begin/rescue/ensure
// We know this is a block scope because a local scope cannot be within a local scope // If topScope was itself it would have created a LocalAsgnNode above.
// UTF-8
//  hexadecimal
// line 1925
// IN FACT, we should probably raise an error, yes?
// line 1496
// if entry is an empty string, skip it
// double precision, native // double precision, native
// line 1568
// FIXME we want to eliminate these type casts when possible
// line 1663
// line 1280
// any exceptions raised must continue to be raised, skipping $! restoration
// found a match above, check if remaining separator characters match, appending as we go
// A potentially previously close IO is being 'reopened'.
// exact arg list __file__
// ENEBO: Can these be fast?
/* rb_str_splice */
// single-statement body, just compile it
// line 362
// we re-set self to the class, but store the old self in a temporary local variable // this is to prevent it GCing in case the singleton is short-lived
//            return warnMultiReturnNil(ruby);
// fill in all vars with nil so compiler is happy about future accesses
// TODO: Ruby unlocks the string here
// push false
// we do have another slash; omit both / and . (JRUBY-1606)
// Do nothing.  FD_CLOEXEC has no meaning in JVM since we cannot really exec. // And why the hell does webrick pass this in as a first argument!!!!!
// call the proc, but not for symbols
// line 509
// shift to yyN
// Other args begin at index 1
// alarm(bell)
// calltype // block
// FIXME: \r logic needed
// retry handling in the rescue block
// inline script
// Populate values for the parameter names
// never reached
// entry exists, proxy doesn't match. replace. // this could happen if old proxy was gc'ed // TODO: raise exception if stored proxy is non-null? (not gc'ed)
// SSS FIXME: Does int suffice, or do we need long?
// ok, we have fast paths
// C:\ is returned unchanged
// gotta have at least a zero...
// Give a name to a value.  Enebo: This should be used more.
// implement all forces implementation of all interfaces we intend // for this class to implement
/* \C-X, \C-\M-X */
// Build IR for args
// mutex that controls modifications of user-defined finalizers
// FIXME: this really ought to be in clinit, but it doesn't matter much
// Otherwise the unpack should be here...
// no connection immediately accepted, let them try again
// What handles warnings
// line 1079
// line 378
"/*     * This is the proper behavior for all non-expanded assigners which have a pre > 0.  The rest     * override this.     */"
// Piece of mri rb_to_id
// rb_reg_initialize_str
// this set is only for darwin
// If it's a single-arg when but contains an array, we know it's a real literal array // FIXME: This is a gross way to figure it out; parser help similar to yield argument passing (expandArguments) would be better
// ---------- These methods below are used during compile-time optimizations -------
// File to be loaded by autoload has already been or is being loaded.
// ////////////////// LOW-LEVEL CLASS VARIABLE INTERFACE //////////////// // // fetch/store/list class variables for this module //
// normal exit, perform finally and return
// When Socket::AI_PASSIVE and host is nil, return 'any' address.
// we only need full-on redo exception handling if there's logic that might produce it
// line 436
// bench fully-boxed fib
// For 'foo'
// If this thread is sleeping or stopped, wake it
// FIXME: Remove this from grammars.
// three args with block
// allow it to bubble up
// skip anything not related to jruby
// line 832
// These call* assume ThreadContext = receiver.getRuntime().getCurrentContext()
// line 1577
// no binding given, use 0 for both
// FIXME: This isn't right for within ensured/rescued code
// line 701
// upper-case package name // TODO: top-level upper-case package was supported in the previous (Ruby-based) // implementation, so leaving as is.  see note at #getProxyOrPackageUnderPackage // re: future approach below the top-level.
// set up a local IRuby variable
// ?-  | boolean | True if file1 and file2 are identical
"/* note nemes_gamma can return Double.POSITIVE_INFINITY or Double.NEGATIVE_INFINITY         * when value is an integer less than 1.         * We treat 0 as a special case to avoid Domain error.         */"
// Timeout module methods
/*utf8 lead byte*/
// ////////////////// CLASS VARIABLE RUBY METHODS //////////////// //
// FIXME: after jump is not in here.  Will if ever be? //Label afterJmp = new Label();
// TODO should this be deprecated ? (to be efficient, internals should deal with RubyHash directly)
// line 451
// TODO: It would be nice to throw a better error for this
// value copy and type conversion operations
// IRubyObject, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String
// retrieve method // module // name
// Backref for $~, $1, etc
// Try to look up field for simple name // get field; if nonnull, go straight to dispatch
// if channel is already closed, we're no longer valid
// RubyBigdecimal
// line 452
// Don't initialize with class // Don't put in object space and don't taint
// ?S  | boolean | True if file1 exists and is a socket
// for zsupers in define_method (blech!) we tell the proc scope to act as the "argument" scope
// get attr
/* end of script. */
// SSS FIXME: Pick one of bytelist or string, or add internal conversion methods to convert to the default representation
// line 1420
// in-frame EvalState should already have receiver set as self, continue to use it
// If the target thread is sleeping or stopped, wake it
//[C,C] //[C, boolean]
// line 467
// line 1757
//TODO: implement, won't do this now
// line 470
// line 1236
// TODO: Figure out how this can happen and possibly remove
// perform the dispatch
/* expected */
// line 1639
// keep value of twoAgo around so we can restore after we unread
// if it's an inner class and it's not public, we can't access it; // skip population of declared elements
// exec process, create IO with process
// Done with closure compilation
// if we're not attempting to invoke method_missing and method is not visible, branch to method_missing
// Methods of the Object class (rb_obj_*):
// first char must be digit
// no canonical path yet or length is zero, and we have a / followed by a dot...
// next jump
// args should be before block
// rb_enc_str_asciionly_p
/*arg*/
// line 569
// n.b. we need to recompute the hash in case the key object was modified
//System.err.println(" stringToLong/reading c=" + data[s]);
// Lastline
// While processing loops, this returns the loop that we are processing.
// bench Integer fib
// getFoo      => foo // getFoo(int) => foo(int)
// TODO: we should be able to optimize this quite a bit post-1.0.  JavaClass already // has all the methods organized by method name; the next version (supporting protected // methods/fields) will have them organized even further. So collectMethods here can // just lookup the overridden methods in the JavaClass map, should be much faster.
// MRI behavior
// TODO: Make this more intelligible value
// FNFException can be thrown in both cases, when the file // is not found, or when permission is denied.
// string given
// TODO: rescan code range ?
// SSS: FIXME: Somewhere here, we need to record information the type of this operand as String
// build first node as non-expr and build second node
// line 951
// Correct position for read / write buffering (we could invalidate, but expensive)
// FIXME: I use a for block to implement END node because we need a proc which captures // its enclosing scope.   ForBlock now represents these node and should be renamed.
// default options
// Traverse the instructions in this basic block in reverse order!
// If we got a simplified value, mark the call dead and insert a copy in its place!
// an official rule, clarified: if the exponent // <clarif>after adjusting for exponent form</clarif> // is < -4,  or the exponent <clarif>after adjusting  // for exponent form</clarif> is greater than the // precision, use exponent form
// zero args, no block; do nothing
// assuming the user wants a collection of interfaces that can be // included together. make it so.
//subList.clear(); // Sublist is supposed to share same backing store as list...TODO in RubyArray. //assertTrue(list.size() == 1);
// not actually called anywhere (all known uses call the fast version)
// We promote our box to being its own box since we're changing // visibilities, and need it to be reflected on this method object // independent of any other sharing the box.
// field is null, lock class and try to populate
// add main impl, used for detached or command-line execution of this script with a new runtime // root method of a script is always in stub0, method0
// line 1189
//static private final String TRANSLIT = "//translit";
// return jump handling
// SSS FIXME: Is this correct?
// carriage return
// file not given
// constants webrick crashes without
// Yow...this is still ugly
// args
// "." dir is used for relative path loads from a given file, as in require '../foo/bar'
// three args, no block; do nothing
// adapter, tc, recv, args{0,1}, block{0,1}]
// IRubyObject, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String, IRubyObject
// line 969
// iso-2022-jp
// getFooBar() => fooBar?, foo_bar?(*)
// all errors, just info; do not prevent unloading // IKVM does not support JMX, and throws an error
// compensate for missing slash after drive letter on windows
// Complete using a Proc object
// Create a new closure context
// modify the block with a new backref/lastline-grabbing scope
// If we don't have a body, check for required or opt args // if opt args, they could have side effects // if required args, need to raise errors if too few args passed // otherwise, method does nothing, make it a nop
// last conditional case, use defaultCase
// Note: this field and the following static initializer // must be located be in this order!
// FIXME: Not sure what the semantics of transfer are //cFiber.defineFastMethod("transfer", cb.getFastOptMethod("transfer"));
// JRubyService
// one-dimensional array
// line 1210
// won't hurt fixnums
// set the full name
// TODO: no java stringity
// for specific-index cases, clean up non-expression values
// line 1794
// line 500
// write out ivar count followed by name/value pairs
// line 426
// // We limit reads to BULK_READ_SIZED chunks to avoid NIO allocating // a huge temporary native buffer, when doing reads into a heap buffer // If the dst buffer is direct, then no need to limit. //
// bit risky if someone changes completor, but useful for method calls
// build descriptor string
// FIXME: do we really want 'declared' methods?  includes private/protected, and does _not_ // include superclass methods
// line 932
// TODO: call config with scope but no frame
// No hex value after the 'x'.
// Translate "x &&= y" --> "x = (is_true(x) ? y : false)" --> //  //    x = -- build(x) should return a variable! -- //    f = is_true(x) //    beq(f, false, L) //    x = -- build(y) -- // L: //
// line 1047
// do nothing; arity check is done before call
// line 809
// line 429
// one arg with block
// // If it is a file channel, then we can pre-allocate the output buffer // to the total size of buffered + remaining bytes in file //
// line 1187
// exec needs to behave differently in-process, because it's technically // supposed to replace the calling process. So if we're supposed to run // in-process, we allow it to use the default streams and not use // pumpers at all. See JRUBY-2156 and JRUBY-2154.
"/*     * Ensure that separator is valid otherwise give it the default paragraph separator.     */"
// line 1557
// ignore if it's not a global var
// the 1 is for the stripped sign char
/*mirko: check*/
// normal closure
// How many strings are nested in the current string term
// use specific-arity for as much as possible
// Single-quote fast path
// new instance to invoke run against
// Live reference to module
// once hasNext has been called, we commit to next() returning // the entry it found, even if it were subsequently deleted
/* just ignore */
// line 324
// actual type does not exactly match method return type, re-get converter // FIXME: when the only autoconversions are primitives, this won't be needed
// FIXME: This is an ugly hack to resolve JRUBY-1381; I'm not proud of it
// Haven't found a class, continue on as though it were a package
// line 1301
// hash given
// line 1603
// pre-set for the sake of terminating recursive calls
// line 1588
// If reciever is self then we do the call the same way as vcall
// MRI accepts additional wday argument which appears to be ignored.
// MRI behavior: Week values are monotonous. // So, weeks that effectively belong to previous year, // will get the value of 0, not 52 or 53, as in Java.
// We encountered '\0' when // were reading the buffer above, // increment the number of read bytes.
// String construction routines by NOT byte[] buffer and NOT making the target String shared
// Block and block pass passed in at same time....uh oh
// This try/catch is to allow failing over to the "commands" logic // when running from within a jruby-complete jar file, which has // jruby.home = a jar file URL that does not resolve correctly with // JRubyFile.create.
// inner switch
// line 1485
// host is nil or the empty string, bind to INADDR_ANY
// two args with block
// line 497
// Create constants for flock
// Get a new label using the provided label prefix
// now some data...
// FIXME: legal here? may want UnsupportedOperationException
// perform assignment for the next node
//switch
// not valid for "dead" state
/* $@: error position */
// temporary hack to handle non-Ruby values // will come up with better solution shortly
// all other arg cases with block
// FIXME: I think this chunk is equivalent to MRI id2name (and not our public method  // id2name).  Make into method if used more than once.
// inside a loop, break out of it // go to end of loop, leaving break value on stack
// line 1089
// line 1643
// Is there a supplied proc argument or do we assume a block was // supplied
// arg and receiver already present on the stack
// Equivalent of T_DATA
// TODO: Make sure all appropriate open flags are added to this check.
// line 1661
//yyDefRed 945
// Register the new descriptor
// CON FIXME: I don't know how to make case be an expression...does that // logic need to go here?
"/* Ruby arrays default to holding 16 elements, so we create an         * ArrayList of the same size if we're not told otherwise         */"
// line 1942
// otherwise, rethrow
// line 903
// boxed arg list __file__
// undo check
"/* What is \v in C?                    case '\v':                        c2 = 'v';                        break;                        */"
// other java proxy classes added under their superclass' java proxy
// Find power-of-two sizes best matching arguments
// ////////////////// CONSTANT API METHODS //////////////// //
// for visibility checking without requiring frame self // TODO: don't bother passing when fcall or vcall, and adjust callsite appropriately
// ignore leading zeroes // switch
// digits array shifted, update all
// block argument to the method // closure present // class present // method table mutations, def, defs, undef, alias // likely call to eval // makes calls that are aware of the frame // makes calls that are aware of the frame's self // makes calls that are aware of the frame's visibility // makes calls that are aware of the frame's block // makes calls that are aware of the frame's name // makes calls that set or get backref // makes calls that set or get lastline // makes calls that are aware of the frame's class // optional arguments to the method // rest arg to the method // makes calls that are aware of the scope // makes a zero-argument super call // accesses or sets constants // accesses or sets class variables // makes normal super call // contains a retry
// Build the class body!
// Java requires "w" for creating a file that does not exist
// quietly try to load the class
// a case/when branch
// hashcode is a combination of the interfaces and the Ruby class we're using // to implement them
// check if it's true, ending if so
// Make sure all arguments are modules before calling the callbacks
// We only need to pass in current scope if we are evaluating as a block (which // is only done for evals).  We need to pass this in so that we can appropriately scope // down to captured scopes when we are parsing.
// line 526
// define ARGV and $* for this runtime
// Control flow graph for this scope
// We need to guarantee that any existing reads of old Map can //  proceed. So we cannot yet null out each bin.
// Of course this isn't particularly useful.
// line 537
// methods 'foo!' and 'foo?' are possible but if followed by '=' it is relop
// No bit math to store level since we know level is zero for this case
// XXX: const lookup can trigger const_missing; is that enough to warrant it always being executed?
// static initializing method
// Construct key services
// shouldn't happen, but if a superclass is specified, it's not ours
// We're doing normal framed compilation or the method needs a frame
// Returns slot of variable
// A gotcha for Long.MIN_VALUE: value = -value
// add $RUBYLIB paths
// promise to implement two to three with block
// wow, the only time we can use the java protocol ;)
//if the index is not a multiple of 8, we are not on a byte boundary
// make getter for handler
// Ordering of array traversal not important, just intuitive
