//no big deal
// TODO : or should we return 'containsTableAlias'??
// note: interfaces is assumed to already contain HibernateProxy.class
// Write any appropriate versioning conditional parameters
// Make sure the root node for the region exists and  // has a DataVersion that never complains
// perhaps this should be an exception since it is only ever used // in the above method?
"//		registerColumnType( Types.CLOB, 16777215, ""mediumtext"" ); //		registerColumnType( Types.CLOB, 65535, ""text"" );"
// We should reengineer this class so that, rather than the current ad - // hoc linear approach to processing a stream of tokens, we instead // build up a tree of expressions.
// PHASE 3 : Generate the SQL.
// the entity name
// if the property mapping consists of all formulas,  // make it non-updateable
// we need to writeObject() on this since interceptor is user defined
// remove all collections for the entity from the session-level cache
// assume we do *not* refer to a property on the given persister
// Render the identifier select fragment using the table alias.
// don't need to check laziness (dirty checking algorithm handles that)
/* current stack len = 2 */
"// nothing to do		"
// otherwise, utilize the static delete statements
// Need to account for allowable '_' within the variant
//this.forceCacheRefresh = forceCacheRefresh;
// We would probably refactor to have LogicParser (builds a tree of simple // expressions connected by and, or, not), ExpressionParser (translates // from OO terms like foo, foo.Bar, foo.Bar.Baz to SQL terms like // FOOS.ID, FOOS.BAR_ID, etc) and PathExpressionParser (which does much // the same thing it does now)
// we have the form: trim(from trimSource). //      This is functionally equivalent to trim(trimSource) // EARLY EXIT!!!!
// TODO: I considered validating the presence of the TS cache here, // but decided to defer unti getQueryCacheInstance() in case the  // cache is never actually used
// We could register the session against the transaction even though it is // not started, but we'd have no guarentee of ever getting the map // entries cleaned up (aside from spawning threads).
// Not a collection? // Return the entity property mapping.
//ie. 60 seconds
// we will need to create new entries
//TODO: get SQL rendering out of here
// Generate an 2d array of column names, the first dimension is parallel with the // return types array.  The second dimension is the list of column names for each // type.
// TODO: get SQL rendering out of here, create an AST for the join expressions. // Use the SQL generator grammar to generate the SQL text for the index expression.
"/*public boolean isNonExistant(EntityKey key) {		return nonExistantEntityKeys.contains(key);	}*/"
// todo : remove this and just have subclasses use Isolater/IsolatedWork directly...
// cache the actual id of the object, not the value of the // property-ref, which might not be initialized
//Render the SQL query
// any earlier proxy takes precedence
// Does this dialect support the UNIQUE column syntax?
// the next one up must also be
// we got here because we assumed that an instance // with an assigned id was detached, when it was // really persistent
// mutation depends on the types of nodes invloved...
// this is a transient object with existing persistent state not loaded by the session
// no transformations took place, so handle it as we would a // non-instrumented class
// (NOT (GE a b) ) => (LT a b)
// otherwise a null or brand new collection // this will also (inefficiently) handle arrays, which // have no snapshot, so we can't do any better //processArrayOrNewCollection(collection, type);
//This is not very nice (and quite slow):
// This just handles a particular case of component // projection, perhaps get rid of it and throw an exception
// NativeSQL: collect key column and auto-aliases
//after setting values to object, entityMode
//do this bit after setting initialized to true or it will recurse
//TODO: include the rowids!!!!
"//			Iterator iterator = extendsQueue.iterator();"
// First, save off the pertinent ids, as the return value
// for sane JEE/JTA containers, the transaction itself functions as its identifier...
//always overwrite nonversioned data
// putfield // new value of the field
// during flush, we navigate the object graph to // collections and decide what to do with them
// TODO : should remove this exposure //  and have all references to the session's batcher use the ConnectionManager.
// only one-to-one is lazy fetched
// Generate the select expression.
// For an explicit many-to-many relationship, add a second join from the intermediate  // (many-to-many) table to the destination table.  Also, make sure that the from element's  // idea of the destination is the destination table.
//TODO: this class depends directly upon CriteriaImpl,  //      in the impl package ... add a CriteriaImplementor  //      interface
// Transform the tree.
// for version properties marked as being generated, make sure they are "always" // generated; aka, "insert" is invalid; this is dis-allowed by the DTD, // but just to make sure...
// initialize this collection
// local cache, so we use synchronization
// Handle any filters applied to the class level
//persister.setIdentifier(result, id); //before calling interceptor, for consistency with normal load
// copied from Session:
//ELEMENT
//TODO: make this a bit nicer
// Set the unresolved path in this node and the parent. // Set the text for the parent.
//insert all the new entries
"// overriding inherited meta attribute. HBX-621 & HBX-793			"
// the path expression continues after a ]
// Add to the query spaces.
// Initialize dirty flags for arrays + collections with composite elements // and reset reached, doupdate, etc.
// aliases named identifier ( alias.idname )
//TODO: Yuck! This is not quite good enough, it's a quick //hack around the problem of having a to-one association //that refers to an embedded component:
// would be great to move all this below here into another method that could also be used // from the new scrolling stuff. // // Would need to change the way the max-row stuff is handled (i.e. behind an interface) so // that I could do the control breaking at the means to know when to stop
//now render the joins
// Make #@%$^#^&# sure no alias is applied to the table name
//sort first by role name
// don't create a unique key, 'cos some // databases don't like a UK on nullable // columns
// This assumes you will want to ignore any update counts
// not null is implicit
// might happen with a managed connection
// the name of an entity class
//do this work only at the very highest level of the load //don't let this method be called recursively
// cache region is defined by the root-class in the hierarchy...
// we want to be able to just use the defaults, // if JNDI environment properties are not supplied // so don't put null in anywhere
// this is called by SessionFactory irregardless; we just disregard here; // could also add a check to SessionFactory to only conditionally call stop
// If the join is implied, then don't include sub-classes on the element.
// (NOT (IS_NOT_NULL a b) ) => (IS_NULL a b)
//TODO: deprecated, remove eventually
//cache the hashcode
// The unique property value represented here may or may not be // serializable, so we do an explicit check here in order to generate // a better error message
// if we reach the end of the string w/o finding the // matching end, that is an exception
// remember that ordinal parameters numbers are 1-based!!!
// get meta's from <class>
//TODO: I am not so sure about the exception handling in this bit!
// first, iterate over all elements capable of defining an extends attribute // collecting all found extends references if they cannot be resolved // against the already processed mappings.
// TODO: an alternative is to check if the owner has changed; if it hasn't then // return collection.getOwner()
// Sometimes use the element table alias, sometimes use the... umm... collection table alias (many to many)
// Inner classes ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//we ran out of keys to try
// get the right object from the list ... would it be easier to just call getEntity() ??
// not so sure this is even valid subtree.  but if it was, it'd // represent two unrelated table references...
// Register the type of the out param - PostgreSQL uses Types.OTHER
//TODO: need some caching scheme? really comes down to decision  //      regarding amount of state (if any) kept on PropertyAccessors
//TODO: we should provide some way to get keys of collection of statistics to make it easier to retrieve from a GUI perspective
//lobs cannot be compared
// Do nothing; subclasses may override.
//TODO: if we are using identity columns, fetch the identifier
// remove session from "current context"
// VersionType impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ //      Note : simply returns null for seed() and next() as the only known //      application of binary types for versioning is for use with the //      TIMESTAMP datatype supported by Sybase and SQL Server, which //      are completely db-generated values...
// 60 seconds
// we have something like : "lhs [op] ?"
// ifnonnull (label1)
// If the propertyType is null and there isn't a parent, just // stop now... there was a problem resolving the node anyway.
// this is an internal error of some sort...
//xml is the entity name
// Moved here from SelectClause [jsd]
// includes last '.'
//private CacheEntry cacheEntry;
// generate id select fragment and then property select fragment for // each expression, just like generateSelectFragments().
//Yuck:
// Case 2: The current token is after FROM and before '.'.
// Essentially: // 1) If we have a local (Hibernate) transaction in progress //      and it already has the UserTransaction cached, use that //      UserTransaction to determine the status. // 2) If a transaction manager has been located, use //      that transaction manager to determine the status. // 3) Finally, as the last resort, try to lookup the //      UserTransaction via JNDI and use that to determine the //      status.
// List OPERATIONS:
// temporary ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Parse the query string into an HQL AST.
// TABLENAME
//TODO: if object was an uninitialized proxy, this is inefficient, //      resulting in two SQL selects
// Use the DOT node to emit the first column name. // Create the column names, folled by the column aliases.
// Use the table fromElement and the property name to get the array of column names.
// TODO : we really need to be able to deal with component paths here also; // this is difficult because the hql-sql grammar expects all those node types // to be FromReferenceNodes.  One potential fix here would be to convert the // IntoClause to just use a FromClause/FromElement combo (as a child of the // InsertStatement) and move all this logic into the InsertStatement.  That's // probably the easiest approach (read: least amount of changes to the grammar // and code), but just doesn't feel right as then an insert would contain // 2 from-clauses
//value is the entity name
//int result = 17; //result = 37 * result + type.hashCode(); //result = 37 * result + ( value==null ? 0 : value.hashCode() ); //return result;
// Put the FILTERS node before the HQL condition and theta joins
//TODO: create uk loaders for component properties
//bad cast
//do not return a proxy! //(this option indicates we are initializing a proxy)
"//	private final SessionFactoryImplementor sessionFactory;"
// Write HTML footer
// double
//TODO: optimize away this lookup for entities w/o unsaved-value="undefined"
//disassembled state gets put in a new array (we write to cache by value!)
// todo : throw exception?  maybe warn if not the same?
// Check the persistence context for an entry relating to this // entity to be merged...
// it is possible for this method to be called during flush processing, // so make certain that we do not accidently initialize an uninitialized proxy
// Create a new FILTERS node as a parent of all filters
// TODO: copy/paste from ManyToOneType
// return aliases not supported in classic translator!
// First, try to get the persister using the given name directly.
// inheritance cycle detection (paranoid check)
// if the corresponding SQL value is NULL, the reader we got is NULL as well
// TODO : this is a bit dodgy, come up with a better way to check this (plus see above comment)
// by default we report no support
//cannot be instantiated
// scroll ahead
// worrying about proxies is perhaps a little bit of overkill here...
// TODO : absolutely no usages of this constructor form; can it go away?
//st.setTimestamp( index,  new Timestamp( cal.getTimeInMillis() ), cal ); //JDK 1.5 only
// iterate all the entities currently associated with the persistence context.
//before cascade! //TODO: should this be Session.instantiate(Persister, ...)?
//SessionFactory name:
// The current_timestamp is more accurate, but only known to be supported // in SQL Server 7.0 and later (i.e., Sybase not known to support it at all)
// kept for backward compatibility until after the 3.1beta5 release of HA
// Error message constants.
// First we need to suspend any current JTA transaction and obtain // a JDBC connection
// Start performing the updates
//TODO: optimize this better!
// if we know there is exactly 1 row, we can skip. // it would be great if we could _always_ skip this; // it is a problem for <key-many-to-one>
// an "embedded" component (composite ids and unique) // note that this does not handle nested components
// else no collection element, but also no owner
// A collection of scalar elements...
// stream closed in the finally
// Get the caller
// TODO Why not use the timestamp in a DataVersion?
// A collection of entities...
// it is or was referenced _somewhere_
// Dialect method overrides ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Ignore the token class name parameter, and use a specific token class.
// the contract of EntityTuplizer.determineConcreteSubclassEntityName says that returning null // is an indication that the specified entity-name (this.getEntityName) should be used.
// The HQL class alias refers to the class name.
// TODO : YUCK!!!  fix after HHH-1907 is complete
// Code to handle subclasses of topClass
// again, null != null here
//sort first by entity name
// Make sure this is a defined parameter and check the incoming value type // TODO: what should be the actual exception type here?
// FOREIGN KEY VIOLATION
//its the given optional object
// todo : eventually merge this with TreeCache and just add optional opt-lock support there.
//private String propertyName;
// sybase driver (jConnect) throwing NPE here in certain // cases, but we'll just handle the general "unexpected" case
//we can use an inner join for the many-to-many
// return false here, as most databases do not properly support this construct...
// no-op. We don't own the cache so we shouldn't stop it.
//if dotted and not load-collection nor return-join //regular property
// Treat explict from elements in sub-queries properly.
//NOTE EARLY EXIT
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ // stuff that is persister-centric and/or EntityInfo-centric ~~~~~~~~~~~~~~ // ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// the default is to simply not lazy fetch properties for now...
// Otherwise, it's a literal.
// dynamic filters attached to the class-level
// let this take precedence if defined, since it works for // assigned identifiers
//check if the managed object is the parent
// map of EntityMode -> Tuplizer
// Search for collections by reachability, updating their role. // We don't want to touch collections reachable from a deleted object
// Criteria impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//element //index -> id
// all this only really needs to consider properties // of this class, not its subclasses, but since we // are reusing code used for sequential selects, we // use the subclass closure
//the load() which takes an entity does not pass an entityName
// automatically makes a column with the default name if none is specifed by XML
//shortcut
//initialize + unwrap the object
// not final-static to avoid possible classcast exceptions if using different oracle drivers.
// we found it
// this is done here 'cos we might only know the type here (ugly!) // TODO: improve this a lot:
//TODO: is this 100% correct?
//throw new IdentifierGenerationException("save associated object first, or disable cascade for inverse association");
// again, CCS did not have such a concept; but a reasonable // proximity is to clear the cache after transaction *as long as* // the underlying cache is not JTA aware.
// schedule the update // note that we intentionally do _not_ pass in currentPersistentState!
// Delegate to the QueryLoader...
// we have something like : "? [op] rhs"
// aload_0 // load this
// add normal properties
// copy elements into newly empty target collection
// create one
// aload 4 // load the raw bean
// expected type is intrinsic here...
// PROPERTIES
// Add the token to the AST.
// we could move this inside if we wanted to // tolerate collection initializations during // collection dirty checking:
//TODO: would be nice to handle proxy classes elegantly!
//TODO: implement caching?! proxies?!
//TODO: if lock.getTimestamp().equals(ts)
//scan for next non-whitespace token
// Now, inject the newly built ORDER BY into the tree
// ALL OTHER
"//note: it is conceptually possible that a UserType could map null to //	  a non-null value, so the following is arguable:"
//override on some subclasses
// this is a virtual id property...
//Close extra brackets we opened
// an unfetched association can only point to // an entity that already exists in the db
// collection of <many-to-any/> mappings... // used to circumvent the component-collection check below...
//return lhsPersister.getSubclassPropertyColumnNames(property);
// subclass closure properties
// the current batch number is the latest batch for this entity type.
// do nothing...
//note that this method could easily be moved up to BasicEntityPersister, //if we ever needed to reuse it from other subclasses
//deliberately ignore return value!
// todo : should this get moved to PersistentContext? // logically, is PersistentContext the "thing" to which an interceptor gets attached?
//The class is now way to complex!
//TODO: not quite sure about the full implications of this!
// temporary ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// grab its current state
//now render the select clause
// Do we need to qualify index names with the schema name?
//TODO: this is one of the ugliest and most fragile pieces of code in Hibernate....
// Note : success = false, because we don't know the outcome of the transaction
//TODO: is there a more elegant way than downcasting?
//handle <=, >=, !=, is not, not between, not in
// Original Dialect.java returns " for update";
//TODO: would it be better to do a refresh from db?
// Here we render the select column list based on the properties defined as being generated. // For partial component generation, we currently just re-select the whole component // rather than trying to handle the individual generated portions.
// generated properties can *never* be insertable...
// can't just return null here, since that would // cause an owning component to become null
// Check named HQL queries
// Create the join element under the from element.
// explicitly perform no checking...
// the current join represents the join between a many-to-many association table // and its "target" table.  Here we need to apply any additional filters // defined specifically on the many-to-many
// as soon as we encounter our first letter, return the substring // from that position
// the database now holds a lock + the object is flushed from the cache, // so release the soft lock
//Custom SQL
// so we "clock over" on the first invocation
//TODO: Somehow add the newly created foreign keys to the internal collection
//TODO: need to make the majority of this functionality into a top-level support class for custom impl support
"//	void setShowSqlEnabled(boolean b) { //		showSql = b; //	} // //	void setFormatSqlEnabled(boolean b) { //		formatSql = b; //	}"
// Re-arrange the tree so that the collection function is the root and the lhs is the path.
// Get the function name node.
"//		origin.addDestination( destination ); // This was the cause of HHH-242 //		origin.setType( FROM_FRAGMENT );			// Set the parent node type so that the AST is properly formed. // The destination node will have all the FROM text. // The parent node is a collection join too (voodoo - see JoinProcessor)"
"/*	 * The types represented in the SQL result set.	 *	 * @return The types represented in the SQL result set.	 */"
// allow these (deprecated) methods to pass through
// TODO: iteratively get transient entities and retry merge until one of the following conditions: //       1) transientCopyCache.size() == 0 //       2) transientCopyCache.size() is not decreasing and copyCache.size() is not increasing // TODO: find out if retrying can add entities to copyCache (don't think it can...) // For now, just retry once; throw TransientObjectException if there are still any transient entities
//not final because proxy factory creation can fail
// or should it actually throw an exception?
// ignore (probably H2 not in the classpath)
// table support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//final boolean forceCacheRefresh,
// (NOT (BETWEEN a b) ) => (NOT_BETWEEN a b)
// igndore it...
"/*public boolean dropTemporaryTableAfterUse() {		//we have to, because postgres sets current tx		//to rollback only after a failed create table		return true;	}*/"
// use old (HB 2.1) defaults if outer-join is specified
// Entity proxies, by EntityKey
// update() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// TODO: an alternative is to check if the owner has changed; if it hasn't then // get the ID from collection.getOwner()
// yick!  need this for proper serialization/deserialization handling...
//insert/update/delete SQL
// Find the WHERE; if there is no WHERE, find the FROM...
"//		registerColumnType( Types.BLOB, 16777215, ""mediumblob"" ); //		registerColumnType( Types.BLOB, 65535, ""blob"" );"
// strip off any leading 'and' token
// we need to dirty check collections, since they can cause an owner // version number increment
// Add the second join, the one that ends in the destination table.
// note that %string is deprecated
// Use the lower case function name. // Remember whether we're in a SELECT clause or not.
//SQL Generation settings:
//public boolean isSubselectLoadable();
// validate() instances of Validatable
// Add a space before the display text.
// Correlated subqueries create 'special' implied from nodes // because correlated subselects can't use an ANSI-style join
//if all fields are null, we might need to delete existing row
// jdbc params are 1-based
// not for internal use:
// todo : should really move this log statement to CollectionType, where this is used from...
// TimesTen has no known variation of a "SELECT ... FOR UPDATE" syntax...
//hilo config
"/**	 * TODO: Check if Mimer SQL cannot handle the way DB2 does	 */"
// delete does cascade to uninitialized collections
// aload_1 // load callback
// unfortunately this stuff can't be cached because // it is per-invocation, not constant for the // QueryTranslator instance
// Add the condition to the join sequence that qualifies the indexed element.
// child == parent.getFirstChild()
// we represent a naked (simple) prop-ref
// CUSTOM SQL
// NOTE: this assumes something about how propertySelectFragment is implemented by the subclass! // was toUnqotedAliasStrings( getIdentiferColumnNames() ) before - now tried // to remove that unqoting and missing aliases..
// ResultSet impl ("overridden") ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// If the constant is an IDENT, figure out what it means...
//TODO: better to degrade to lazy="false" if uninstrumented
// we have not yet hit the last result...
// Collection of components.
// don't need subclass tables, because they can't appear in conditions
// Tag this node as a JOIN. // Don't include subclasses in the join. // This is a clollection join.
// Following methods we don't delegate since they have so little logic // it's clearer to just implement them here
// ldc // field name
"/*				 * Property prop = new Property(); prop.setName(""id"");				 * prop.setPropertyAccessorName(""embedded""); prop.setValue(id);				 * entity.setIdentifierProperty(prop);				 */"
// LIMIT support (ala TOP) ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
"//	public ComponentMetamodel(Component component, SessionFactoryImplementor sessionFactory) {"
// treat it as a classname
// we may be screwed here since the collection action is about to execute // and we do not know the final owner key value
// Add these directly to the executions queue
// todo : move this to SF per HHH-3517; also see HHH-1907 and ComponentMetamodel
// check if it is already completely loaded, but unowned
// ldc // name of the field
// This could also just be true all the time...
// TODO: is it really neceassry to provide Configuration to CollectionPersisters ? Should it not be enough with associated class ? // or why does EntityPersister's not get access to configuration ? // // The only reason I could see that Configuration gets passed to collection persisters // is so that they can look up the dom4j node name of the entity element in case // no explicit node name was applied at the collection element level.  Are you kidding me? // Trivial to fix then.  Just store and expose the node name on the entity persister // (which the collection persister looks up anyway via other means...).
// for backward-compatability
// Forcefully remove leading ands from where fragments; the grammar will // handle adding them
// If that didn't work, try using the 'import' name.
// new // BulkAccessorException
// Remove all the old entries
"//	private List collectionOwnerAliases = new ArrayList(); //	private List collectionAliases = new ArrayList(); //	private List collectionPersisters = new ArrayList(); //	private List collectionResults = new ArrayList();"
// Completely optional cascading drop clause.
// Transaction settings:
// Does this dialect support the Oracle-style FOR UPDATE NOWAIT syntax?
//strip leading ','
// propertyName refers to something like collection.size...
// HHH-2300
// create the node initially with the param name so that it shows // appropriately in the "original text" attribute
"//	register the type of the out param - an Oracle specific type"
//for a dynamic-class
//private Type[] sqlResultTypes;
// Not possible to simply re-use the versionPropertyNode here as it causes // OOM errors due to circularity :(
// for regression testing against output from the old parser... // found it easiest to simply reorder the FromElements here into ascending order // in terms of injecting them into the resulting sql ast in orders relative to those // expected by the old parser; this is definitely another of those "only needed // for regression purposes".  The SyntheticAndFactory, then, simply injects them as it // encounters them.
// Bind the filters
// Fully resolve the map reference, create implicit joins.
//return memberPersister.toColumns(alias, propertyName);
//String[] keyCols = collPersister.getKeyColumnNames();
// if debug level is enabled, then log the password, otherwise mask it
// This is called when it's time to fully resolve a path expression.
// binary %Stream // character %Stream
// we are using "all" or "dirty" property-based optimistic locking
// classic translator does not support collection of ordinal // param metadata
// assume this is a newly instantiated transient object // which should be saved rather than updated
//Inside a BETWEEN ... AND ... expression
// lock doesn't cascade to uninitialized collections
//name from a super query (a bit inelegant that it shows up here)
// If a where clause was specified in the update/delete query, use it to limit the // returned ids here...
// otherwise, perform a "deep equivalence" check...
// collection deletions are a special case since update() can add // deletions of collections not loaded by the session.
// cascade-save to collections AFTER the collection owner was saved
// astore 4 // store the raw bean
// The property is a collection...
//TODO: to handle concurrent writes correctly, this should return a Lock to the client
// TODO : most of below was taken verbatim from DotNode; should either delegate this logic or super-type it
//ATTRIBUTES MAINTAINED BETWEEN FLUSH CYCLES
// otherwise, a trim-specification and/or a trim-character // have been specified;  we need to decide which options // are present and "do the right thing" // should leading trim-characters be trimmed? // should trailing trim-characters be trimmed? // the trim-character // the trim-source
// no auto-flushing to support in stateless session
//ie. no select clause
// collections cannot be compared
// determine if the collection elements are entities...
// Needed to bump this up to DotNode, because that is the only thing which currently // knows about the property-ref path in the correct format; it is either this, or // recurse over the DotNodes constructing the property path just like DotNode does // internally
// loading collection xrefs ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//TODO: ideally we need the construction of PropertyAccessor to take the following: //      1) EntityMode //      2) EntityMode-specific data (i.e., the classname for pojo entities) //      3) Property-specific data based on the EntityMode (i.e., property-name or dom4j-node-name) // The easiest way, with the introduction of the new runtime-metamodel classes, would be the // the following predicates: //      1) PropertyAccessorFactory.getPropertyAccessor() takes references to both a //          org.hibernate.metadata.EntityModeMetadata and org.hibernate.metadata.Property //      2) What is now termed a "PropertyAccessor" stores any values needed from those two //          pieces of information //      3) Code can then simply call PropertyAccess.getGetter() with no parameters; likewise with //          PropertyAccessor.getSetter()
// identifier quoting support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// we need to obtain the lock before any actions are // executed, since this may be an inverse="true" // bidirectional association and it is one of the // earlier entity actions which actually updates // the database (this action is resposible for // second-level cache invalidation only)
// JOINS
// load()/get() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//information about all properties in class hierarchy
// aaload
//TODO: is this right??
// function templates
// saveOrUpdateCopy() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// cascade-delete to many-to-one AFTER the parent was deleted
// JBC put a version in the node when it created as part of // some internal operation. We are always newer, but if // the JBC version is > 1 something odd has happened
// 'outer' is optional and is ignored
//update all the modified entries
//I suppose?
//not really necessary, I guess...
//materialize associations (and initialize the object) later
// Don't resolve the node again.
// Resolve the LHS fully, generate implicit joins.  Pass in the property name so that the resolver can // discover foreign key (id) properties.
// Set of EntityKeys of deleted objects
// IDENT might be the name of a class.
// for objects that came in via update()
// cannot handle single quotes
// Bind the where
// find the batch number associated with the current association, if any.
// NOTE VERY HACKISH WORKAROUND!! // TODO: Fix this so it will work for non-POJO entity mode
// add the current fragment to the THETA_JOINS node
// limit/offset support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// TODO : add this info to the translator and aggregate it here...
//tokens that close a sub expression //tokens that open a sub expression //tokens that would indicate a sub expression is a boolean expression
// long
//+ "_" + referencedColumnName not used for backward compatibility
// float
// Alias references and identifiers use the same node class.
// If there is no WHERE node, make one.
// TODO: RESTRICT VIOLATION
// important, to account for newly saved entities in query // todo : some kind of check for new status...
"//explicit = true;	// This is an explict Select. //ArrayList sqlResultTypeList = new ArrayList();"
// SELECT BEFORE UPDATE
// TODO should we just collect these like with the collections above?
//for backward compatibility, allow a set with no not-null  //element columns, using all columns in the row locater SQL //TODO: create an implicit not null constraint on all cols?
//a newly wrapped collection is NOT dirty (or we get unnecessary version updates)
// get the id from the object
// First, collect all of the select expressions. // NOTE: This must be done *before* invoking setScalarColumnText() because setScalarColumnText() // changes the AST!!!
// get the elements back into the target making sure to handle dirty flag
// otherwise:
// cached for efficiency...
// bit_length feels a bit broken to me. We have to cast to char in order to // pass when a numeric value is supplied. But of course the answers given will // be wildly different for these two datatypes. 1234.5678 will be 9 bytes as // a char string but will be 8 or 16 bytes as a true numeric. // Jay Nance 2006-09-22
//TODO: ugly here:
//sqlResultTypes = selectClause.getSqlResultTypes();
// NativeSQL: collect element column and auto-aliases
// watch out for a case where old is still referenced // somewhere in the object graph! (which is a user error)
// if not wrappered yet, its dirty (this can't occur, because // we now always call wrap() before getting to here) // return ( ! (obj instanceof PersistentCollection) ) ? //true : searchForDirtyCollections( (PersistentCollection) obj, type );
//Not called at runtime so doesn't matter if its slow :)
// uuid.hex is deprecated
// WHERE
//noncritical, swallow and let the other propagate!
// or bidirectional safety method, setting both sides: aPerson.addToEvent(anEvent);
//TODO: get all properties, not just the fetched ones!
// If there is no data type for this node, and we're at the end of the path (top most dot node), then // this might be a Java constant.
//TODO: if we support multiple fetch groups, we would need //      to clone the set of lazy properties!
//sqlResultTypeList.add( type );
// Display the dialect version.
// Make sure you log the exception, as it might be swallowed
// Private constructor - stops checkstyle from complaining.
//need to hydrate it.
// we do not have to worry about queued additions to uninitialized // collections, since they can only occur for inverse collections!
// TODO : an optimization here would be to consider cascade deletes and not gen those delete statements; //      the difficulty is the ordering of the tables here vs the cascade attributes on the persisters -> //          the table info gotten here should really be self-contained (i.e., a class representation //          defining all the needed attributes), then we could then get an array of those
//TODO: we could just return all false...
// Remember the parameters for the compilation.
// temporary table support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// TODO : not sure this is correct, could not find docs on how to do this.
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ // Pre-flushing section // ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// context-entity-identifier returns null explicitly if the entity // is not associated with the persistence context; so make some // deeper checks...
// cascade the refresh prior to refreshing this entity
// Origial Dialect.java returns true;
// the class hierarchy structure
// JoinProcessor needs to know if the where clause fragment came from a dynamic filter or not so it // can put the where clause fragment in the right place in the SQL AST.   'hasFilterCondition' keeps track // of that fact.
"//	public List getCollectionAliases() { //		return collectionAliases; //	} // //	/*public List getCollectionOwners() { //		return collectionOwners; //	}*/ // //	public List getCollectionOwnerAliases() { //		return collectionOwnerAliases; //	} // //	public List getCollectionPersisters() { //		return collectionPersisters; //	} // //	public Map getAlias2Persister() { //		return alias2Persister; //	} // //	/*public boolean isCollectionInitializer() { //		return isCollectionInitializer; //	}*/ // ////	public List getPersisters() { ////		return persisters; ////	} // //	public Map getAlias2OwnerAlias() { //		return alias2OwnerAlias; //	} // //	public List getScalarTypes() { //		return scalarTypes; //	} //	public List getScalarColumnAliases() { //		return scalarColumnAliases; //	} // //	public List getPropertyResults() { //		return propertyResults; //	} // //	public List getCollectionPropertyResults() { //		return collectionResults; //	} // // //	public Map getAlias2Return() { //		return alias2Return; //	}"
// is it necessary to register %exact since it can only appear in a where clause?
// See if the second lookahed token can be an identifier.
// Tell the destination fromElement to 'includeSubclasses'.
// ie. we never have to null out a reference to // an uninitialized proxy
// for non-inverse one-to-many, with a not-null fk, add a backref!
"// todo : for 4.0 //	private static final Logger log = LoggerFactory.getLogger( SQLStatementLogger.class ); // this is the legacy logging 'category'..."
/*sqlResultTypeList,*/
// todo : should seriously consider not allowing a txn to begin from a child session //      can always route the request to the root session...
// Configured outside of Hibernate (i.e. Servlet container, or Java Bean Container // already has Proxool pools running, and this provider is to just borrow one of these
//cannot instantiate
// Does this dialect support the ALTER TABLE syntax?
//TODO: merge into one method!
//handle a property-ref
// todo : what is the implication of this?
//TODO!!!
/*&& StringHelper.isNotEmpty( frag )*/
// should be safe to only ever expect EntityPersister references here
//Statistics and logging:
// entity name will not be available for non-POJO entities // TODO: cache the entity name somewhere so that it is available to this exception
//used also for generation of FK names!
